isim,osm,ebced
ela nur, الا نور,288
elçin, الچين,94
elanur, الانور,288
elida, اليدا,46
elif, الف,111
elisa, اَلیسا,102
elmas, الماس,132
elvan, الف,111
emel, أمل,71
emetullah, امتالله,507
emil, اميل,81
emin, امين,101
emina, امینا,102
eminüddin, امین‌الدین,196
emine, امنه,96
eminullah, امین‌الله,167
emir, امیر,251
emir adnan, امیرعدنان,426
emir bahadır, امیربهادر,463
emir behzat, امیربهزاد,270
emir cavit, امیرجاوید,275
emir cevat, امیرجواد,265
emir erman, امیرآرمن,542
emir eyyüp, امیرایوب,270
emir fazlullah, امیرفضل‌الله,1227
emir hümayun, امیرهمایون,363
emir haşem, امیرهاشم,597
emir himmet, امیرهمت,696
emir i̇rfan, امیرعرفان,652
emir mansur, امیرمنصور,637
emir mehdi, امیرمهدی,310
emir merdan, امیرمردان,546
emir mesut, امیرمسعود,431
emir metin, امیرمتین,751
emir muhsin, امیرمحسن,409
emir muzaffer, امیرمظفر,1471
emir nizam, امیرنظام,1242
emir rıza, امیررضا,1252
emir raşit, امیررشید,765
emir sadık, امیرصادق,446
emir salih, امیرصالح,380
emir suheyl, امیرسهیل,356
emir vahit, امیروحید,279
emir yasin, امیریاسین,382
emir yedullah, امیریدالله,331
emircan, اميرجان,305
emire, أميرة,651
emirhan, اميرحان,310
emrah, امراح,250
emral, أمرال,272
emre, امره,246
emriye, امريه,256
emrullah, امرالله,307
emsal, امثال,572
ender, اندر,255
endişe, اندیشه,370
enes, انس,111
enes kemal, انس كمال,202
enfal, اَنفال,162
engin, انكين,131
enis, اَنیس,121
enise, اَنیسه,126
enuş, اَنوش,357
enver, انور,257
eralp, ارآلپ,234
eray, أراى,212
erşam, اَرشام,542
erşan, اَرشان,552
erşin, اَرشین,561
ercüment, ارجمند,298
ercan, ارجان,255
erdal, اردال,236
erdem, اردم,245
erdevan, اَردوان,262
erdi, اردى,215
erdinç, اردينچ,268
erdoğan, اردوغان,1262
eren, ارن,251
ergül, اركول,257
ergün, اركون,277
ergin, اركين,281
erhan, أرخان,852
erkan, اَرکان,272
erkin, اركين,281
erkut, ايركت,631
erman, ایرمان,302
erol, أرول,237
ersal, ارسال,292
ersam, اَرسام,302
ersan, آرسان,312
ersel, ارسل,291
ersen, ارسن,311
ersin, آرسن,311
ersoy, ارصوى,307
ertürk, ارتورك,827
ertan, ارتان,652
ertuğrul, أرتوغرول,1843
erva, اروع,277
esat, أسعد,135
esedullah, اسدالله,131
esen, اسن,111
esengül, اسنكل,161
eset, اَسد,65
esin, اسين,121
esingül, اسينكل,171
esma, اَسما,102
esmer, اَسمر,301
esra, أسرا,262
esrin, اَسرین,321
ethem, اَدهم,50
evdegül, أوده كل,66
evren, اورن,257
eylül, ايلول,77
eymen, ايمن,101
eyyüp, ایوب,19
eyyup, ايّوب,19
ezan, ازان,59
ezan saatleri,  ازان ساعتلري,830
ezgi, ازكى,38
fındık, فندق,234
fırat, فرات,681
füruzan, فروزان,344
fadime, فاطمه,135
fahrettin, فخرالدین,975
fahri, فخری,890
fahriye, فخریه,895
faik, فاءق,182
faika, فاءقه,187
faruk, فاروق,387
fatıma, فاطمة,530
fatih, فاتح,489
fatih sultan mehmet, فاتح سلطان محمد,731
fatma, فاطمه,135
fatma nisa, فاطمة نساء,642
fatma su, فاطمة صو,626
fatmanur, فاطمه نور,391
fatmasu, فاطمة صو,626
fatoş, فاطوش,396
fay, فاي,91
fazıl, فاضل,911
fazilet, فَضیلت,1320
fazlullah, فضل‌الله,976
fedakar, فذاكار,1002
fehime, فهيمه,140
fehmi, فهمى,135
ferah, فَرح,288
feramuz, فرامز,328
ferda, فردا,285
ferhan, فرحان,339
ferhat, فَرحت,688
ferhunde, فرخنده,939
ferişte, فرشته,985
ferid, فريد,294
feride, فریده,299
feridun, فريدون,350
feriha, فرحه,293
ferit, فَرید,294
feriye, فرييه,305
ferruh, فرّوح,294
feryal, فريال,321
ferzan, فرزان,338
fesih, فصيح,188
fethi, فتحي,498
fethiye, فتحيه,503
fethullah, فتح الله,554
fettah, فتّاح,489
fevzi, فوزى,103
fevziye, فوزيه,108
feyyaz, فیاض,891
feyza, فيضا,891
feyzullah, فیض‌الله,956
fidaye, فدايه,100
figen, فيكن,160
fikri, فكري,310
fikriye, فكريه,315
filiz, فيليز,137
fincan, فنجان,184
firaset, فراست,741
firdevs, فردوس,350
firkat, فرقت,780
firuze, فیروزه,308
fuad, فؤاد,91
fuat, فؤاد,91
fulya, فوليا,127
funda, فوندا,141
furkan, فُرقان,431
gökçe, كوكچه,54
gökçen, گوكچن,99
gökşen, كوكشن,396
gökşin, كوكشن,396
gökhan, كوكحان,105
gökmen, كوكمن,136
göksel, كوكسل,136
göktay, كوكطى,65
göktuğ, گوكتوغ,1452
göl, گول,56
gönül, كوڭل,76
görkem, كوركم,286
göz, گوز,33
gözde, كوزده,42
güçer, كوچر,229
güher, غوهر,1211
gül, كل,50
gülçimen, كلچمن,143
gülçin, كلچېن,113
gülüşan, كلوشان,407
gülümser, كولومسر,362
gülal, كلال,81
gülay, كُلاى,61
gülşah, كلشاه,356
gülşen, كولشن,406
gülbahar, گل بهار,258
gülbin, كلبين,112
gülcan, كُلجان,104
güldane, گلدانه,110
gülden, كلدن,104
gülderen, كلدرن,304
güldeste, كل دسته,519
gülen, كولن,106
gülendam, كل اندام,146
güler, كولر,256
güleser, كل أسر,311
gülfem, گلفام,171
gülfer, كلفر,330
gülhan, كولخان,707
gülhatun, كل خاتون,1107
gülistan, كلستان,561
gülizar, كُلعذار,1021
güllü, كللي,90
gülnar, گلنار,301
gülnaz, كلناز,108
gülnazik, كلنازك,128
gülnur, كلنور,306
gülperi, كل پرى,262
gülru, گلرو,256
gülsüm, کلثوم,596
gülsefa, كلصفا,221
gülsen, كولسن,166
gülser, كُلسر,310
gülserap, كل سراب,313
gülseren, كُلسرن,360
gülsever, كولسور,322
gülsevim, كل سويم,166
gültekin, كلتكين,530
gülten, كلتن,500
gülzade, كل زاده,67
gümüş, كوموش,372
günay, كناى,81
gündüz, كوندوز,93
güneş, كونش,376
güner, كونر,276
güngör, كونكور,302
günseli, كونسلى,176
güntülü, كونتولى,522
gürbüz, كربز,229
gürcan, كورجان,280
gürhan, كورخان,877
gürkan, گورقان,377
gürsel, كورسل,316
güven, كوون,82
güzel, گوزل,63
güzide, كوزيده,52
galib, غالب,1033
galip, غالب,1033
gamze, غمزه,1052
gani, غنيّ,1060
ganime, غنيمة,1500
ganimet, غنيمة,1500
gaye, غايه,1016
gazali, غزالى,1048
gazi, غازى,1018
gizem, كيزم,77
gonca, غنجه,1058
gulşen, كولشن,406
gulsen, كولشن,406
gurbet, غربت,1602
hüda, هُدی,19
hüdavendigar, خداوندگار,886
hülya, خوليا,647
hüma, هُما,46
hümayun, هُمایون,112
hümeyra, حميراء,260
hür, هور,211
hürü, خرو,806
hürüşan, خروشان,1157
hürşat, هورشاد,516
hürşit, هورشید,525
hürcan, حرجان,262
hürmet, حُرمت,648
hürmuz, هرمز,252
hürrem, خُرم,840
hüsamettin, حسام الدين,204
hüseyin, حسین,128
hüseyin enes, حسين انس,239
hüsna, حسنى,128
hüsnü, حسنى,128
hüsne, حسنه,123
hüsniye, حُسنیه,133
haşim, هاشم,346
haşmet, حشمت,748
haşmetullah, حشمت‌الله,814
habib, حبيب,22
habibe, حبیبه,27
habibullah, حبیب الله,88
habil, هابیل,48
habip, حبیب,22
hacı, حاجى,22
hacer, حجر,211
hadi, هادی,20
hadice, خديجة,1017
hadis, حدیث,522
hadise, حدیثه,527
hadiye, هادیه,25
hafız, حافظ,989
hafize, حفيظه,1003
hafizullah, حفیظ‌الله,1064
hafsa, حَفصه,183
hakan, خاقان,752
hakim, حکیم,78
hakime, حاكمه,74
hakkı, حقّى,118
hale, هاله,41
halide, خالِده,640
halife, حلیفه,133
halil, خلیل,670
halile, خلیله,675
halilullah, خلیل‌الله,736
halilurrahman, خلیل‌الرحمان,1000
halim, حلیم,88
halime, حلیمه,93
halis, خالص,721
halise, خالصه,726
halit, خالِد,635
haluk, خلوق,736
hamdi, حمدي,62
hamdiye, حمديه,67
hamdullah, حمدالله,118
hami, حامی,59
hamide, حمیده,67
hamidullah, حمیدالدین,157
hamit, حامد,53
hammat, حَمّاد,53
hamza, حمزه,60
hanım, خانم,691
handan, خندان,705
hande, خنده,659
hanife, حنیفه,153
hanifi, حنيفى,158
haniye, حانیه,74
hannan, حَنّان,109
hansa, خَنْسَاء,712
hanzala, حَنظله,993
haris, حارث,709
harun, هارون,262
hasan, حسن,118
hasan hüseyin, حسن حسين,246
hasbi, حسبي,80
hasbiye, حسبيه,85
hasene, حسنه,123
hasibe, حَسیبه,85
hasip, حَسیب,80
hasna, حَسْنا,119
hasret, حسرت,668
hatıra, خاطِره,815
hatem, حاتم,449
hatice, خدیجه,622
hatun, خاتون,1057
hava, حوا,15
havana, حوا آنا,67
havar, خاور,807
havva, حوّا,15
havva gül, حوّا كل,65
havvagül, حوّا كل,65
havvanur, حوّا نور,271
hayal, خيال,641
hayat, حیات,419
hayati, حياتى,429
haydar, حیدر,222
haydar ali, حیدرعلی,332
hayrettin, خئرالدّين,905
hayri, خيري,820
hayriye, خيريه,825
hayrullah, خیرالله,876
hayrunnisa, خیرالنسا,952
hayyam, خیام,651
hazal, حزال,46
hazim, حازم,56
haziran, خزيران,868
hediye, هدیه,24
helin, هلين,95
hermann, هيرمان,306
heybetullah, هیبت‌الله,483
hicran, هجران,259
hicret, هجرت,608
hidayet, هدايت,420
hifa, هيفاء,97
hikmet, حِکمت,468
hilal, هلال,66
hilmi, حلمى,88
hilmiye, حلميه,93
himmet, هِمت,445
himmetullah, هِمت‌الله,511
hira, خرا,801
hirat, هیراد,220
hivel, هيول,51
huccet, حُجت,411
huccetullah, حُجت‌الله,477
hulusi, خلوصى,736
humeyra, حمیرا,259
hunalp, حون آلپ,97
hurşit, خورشيد,1120
huri, حوری,224
huriye, حوریه,229
hurriye, حُریه,223
huruşan, خروشان,1157
husna, حُسنی,128
huzeyfe, حذيفه,803
i̇şrak, اِشراق,602
i̇brahim, اِبراهیم,259
i̇clal, اِجلال,65
i̇dris, اِدریس,275
i̇fakat, افاقت,582
i̇ftihar, اِفتخار,1282
i̇hsan, اِحسان,120
i̇kbal, اِقبال,134
i̇kindi, ايكندى,95
